Date,Address,lat,lon,Killed,Injured
6/27/14,"1600 block of Cathy Street, San Diego, California",32.5872545,-117.0946296,1,3
6/27/14,"Grand Street and Lasalle Street, Detroit, Michigan",42.3956919,-83.120211,2,2
6/28/14,"5500 Cedar Point Way, Antioch, California",37.9569986,-121.7574705,0,7
6/28/14,"Fifth Avenue and West 139th Street, Manhattan, New York",40.8153398,-73.935758,0,4
6/29/14,"1100 block of North Vermont Avenue, Los Angeles, California",34.0912211,-118.2917598,1,5
6/29/14,"700 Bourbon Street, New Orleans, Louisiana",29.9586073,-90.0654568,1,9
6/29/14,"2800 block of Dayton, Saint Louis, Missouri",38.641863,-90.216016,0,4
6/30/14,"Scottsdale Circle, Lexington, Kentucky",38.0763447,-84.4771899,1,3
7/2/14,"1400 block of West Congress Street, Chester, Pennsylvania",39.840613,-75.3863327,0,5
7/4/14,"1722 Thurgood Street, Norfolk, Virginia",36.8263581,-76.2633206,0,5
7/5/14,"N/A, Kalamazoo, Michigan",42.2917069,-85.5872286,0,4
7/5/14,"333 SE 122ND Ave, Portland, Oregon",45.5199523,-122.5380289,1,4
7/5/14,"Broad Ripple Avenue, Indianapolis, Indiana",39.8686303,-86.1313339,0,7
7/5/14,"4700 Piggott Avenue, Centreville, Illinois",38.5800536,-90.1232191,0,5
7/5/14,"1700 Almeda-Genoa, Houston, Texas",29.612063,-95.395748,0,6
7/5/14,"861 W. 36th Street, Norfolk, Virginia",36.8781999,-76.2974195,0,7
7/6/14,"NW 20th Ave and NW 62nd St, Miami, Florida",25.8315384,-80.229983,2,2
7/6/14,"4600 block of Natural Bridge Avenue, Saint Louis, Missouri",38.6716893,-90.2417656,0,4
7/6/14,"100 block of Erb Street, Buffalo, New York",42.9208713,-78.8001568,0,4
7/7/14,"KY 194E, Stopover, Kentucky",37.5157432,-82.0912696,0,4
7/7/14,"312  E Baseline Street , San Bernardino, California",34.1213349,-117.2781138,1,4
7/8/14,"35 March Street, Providence, Rhode Island",41.841647,-71.424938,0,5
7/9/14,"711 Leaflet Ln, Spring, Texas",30.040832,-95.4420109,6,1
7/11/14,"5200 West Quincy Street, Chicago, Illinois",41.8775564,-87.7553625,1,3
7/12/14,"1700 block of Summit Avenue, Pasadena, California",34.175087,-118.147271,3,2
7/13/14,"84 West Park Place, Stamford, Connecticut",41.0535199,-73.5412976,0,5
7/13/14,"1700 block of Lincoln Road NE, Washington, District of Columbia",38.9126705,-77.0087051,0,4
7/13/14,"12600 Renton Avenue South , Skyway, Washington",47.4917392,-122.2392921,0,5
7/14/14,"Fulton Avenue , Sacramento, California",38.6040984,-121.4014311,1,4
7/19/14,"1300 North Mason Avenue, Chicago, Illinois",41.9039536,-87.7745294,0,4
7/20/14,"5103 block of Bunkum Rd, East Saint Louis, Illinois",38.6233603,-90.0960772,1,3
7/20/14,"Rancho Drive 3400 block , Las Vegas, Nevada",36.2204356,-115.2150062,1,3
7/21/14,"300 block of Foote Park Lane, Memphis, Tennessee",35.1328562,-90.0452121,0,4
7/21/14,"36 Welland Avenue, Irvington, New Jersey",40.7171504,-74.2289384,0,6
7/23/14,"700 block of Hickory St, Braddock, Pennsylvania",40.4057612,-79.8612975,0,4
7/25/14,"700 South California Avenue, Chicago, Illinois",41.872696,-87.6962999,1,6
7/26/14,"N/A, Pine Bluff, Arkansas",34.2284312,-92.0031955,1,3
7/26/14,"Royal Street, Sylvester, Georgia",31.5309776,-83.8220617,0,8
7/26/14,"35 Water Street, Saco, Maine",43.4980219,-70.4488396,5,0
7/27/14,"2000 block of East John Avenue, Saint Louis, Missouri",38.6716819,-90.209797,0,5
7/30/14,"926 Bramblegate Road, Hope Mills, North Carolina",34.9686821,-78.9216791,3,2
8/1/14,"1500 block of South Etting Street, Philadelphia, Pennsylvania",39.9345098,-75.1899643,1,3
8/2/14,"5125 Wynell Street, Dallas, Texas",32.6857968,-96.7824883,3,1
8/2/14,"Acushnet Avenue, New Bedford, Massachusetts",41.6879434,-70.9272028,0,7
8/2/14,"Penn Avenue and 29th Street, Pittsburgh, Pennsylvania",40.4578461,-79.9741991,1,5
8/3/14,"3403 FM 1960, Humble, Texas",30.0001036,-95.2222824,0,7
8/3/14,"5200 block of Thekla , Saint Louis, Missouri",38.6904392,-90.2433765,0,5
8/3/14,"4400 block of Rixeyville Road, Culpeper, Virginia",38.5339082,-77.9798351,5,0
8/3/14,"East 9th Street and Bridge Street, Columbia, Tennessee",35.611702,-87.0298075,0,5
8/4/14,"1100 block of Joseph E. Boone Boulevard NW, Atlanta, Georgia",33.7635034,-84.4234785,0,5
8/6/14,"1700 block of Quincy Street , Bakersfield, California",35.3814817,-118.9744486,3,1
8/8/14,"3000 block of N. 28th Street , Milwaukee, Wisconsin",43.073509,-87.9485535,0,4
8/8/14,"3426 Vassar NE, Albuquerque, New Mexico",35.1194202,-106.6148003,1,3
8/8/14,"Second Street and Todd Place NE, Washington, District of Columbia",38.9162892,-77.0035198,0,4
8/9/14,"400 3rd Ave N, Minneapolis, Minnesota",44.9828681,-93.27529,1,8
8/10/14,"16300 block of Heather Glen Road , Moreno Valley, California",33.883616,-117.2217604,0,7
8/10/14,"N Street SW, Washington, District of Columbia",38.8746445,-77.0157117,0,6
